epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
128,4986.57,0.67869,0.42144,1.03614,1,0.933,0.97623,0.69071,1.14183,0.48172,1.39908,0.00061904,0.00061904,0.00061904
129,5020.86,0.68084,0.42417,1.03465,0.96491,0.93388,0.97625,0.69097,1.12292,0.5099,1.38012,0.000610789,0.000610789,0.000610789
130,5060.11,0.65399,0.41984,1.03339,0.97399,0.92857,0.97273,0.69697,1.14008,0.52932,1.38938,0.000602537,0.000602537,0.000602537
131,5091.2,0.67708,0.42806,1.04248,0.95048,0.95184,0.97273,0.69547,1.12047,0.49395,1.40682,0.000594286,0.000594286,0.000594286
132,5130.41,0.67756,0.42621,1.03431,0.95589,0.94215,0.9757,0.69404,1.13421,0.54322,1.40755,0.000586034,0.000586034,0.000586034
133,5166.16,0.6386,0.3949,1.01971,0.97885,0.90909,0.97327,0.69035,1.12026,0.51701,1.38986,0.000577782,0.000577782,0.000577782
134,5201.3,0.65847,0.41226,1.02744,0.97363,0.91547,0.9723,0.69042,1.1045,0.48696,1.37485,0.000569531,0.000569531,0.000569531
135,5233.35,0.64998,0.3938,1.0292,0.98235,0.91991,0.96994,0.69052,1.10738,0.46656,1.38528,0.000561279,0.000561279,0.000561279
136,5270.53,0.62094,0.39022,1.0058,0.97215,0.93388,0.97531,0.69615,1.12885,0.47088,1.40462,0.000553027,0.000553027,0.000553027
137,5315.72,0.66156,0.41895,1.02721,0.99818,0.94215,0.97819,0.69305,1.14652,0.48243,1.41111,0.000544776,0.000544776,0.000544776
138,5357.35,0.64041,0.40569,1.01269,0.99829,0.93388,0.96857,0.69521,1.13949,0.52026,1.40057,0.000536524,0.000536524,0.000536524
139,5385.15,0.63399,0.39178,1.01111,0.9814,0.94215,0.97635,0.71299,1.10306,0.50446,1.37642,0.000528272,0.000528272,0.000528272
140,5421.52,0.62416,0.3917,1.02175,0.96455,0.95868,0.976,0.70256,1.08615,0.49329,1.38589,0.000520021,0.000520021,0.000520021
141,5455.2,0.64695,0.39659,1.02431,0.98722,0.94215,0.97231,0.69024,1.10526,0.49198,1.40421,0.000511769,0.000511769,0.000511769
142,5491.33,0.65327,0.40442,1.02316,0.98677,0.94215,0.9748,0.69203,1.10751,0.45173,1.37845,0.000503517,0.000503517,0.000503517
143,5523.82,0.63818,0.39164,1.01827,0.97454,0.94885,0.9795,0.70488,1.13888,0.47508,1.38712,0.000495266,0.000495266,0.000495266
144,5570.52,0.62555,0.40097,1.00297,0.94868,0.95041,0.97773,0.69339,1.12599,0.44332,1.37664,0.000487014,0.000487014,0.000487014
145,5624.23,0.63036,0.3858,1.01075,1,0.9239,0.97508,0.6941,1.11207,0.48542,1.4202,0.000478762,0.000478762,0.000478762
146,5877.99,0.61891,0.39189,1.01564,0.97972,0.94215,0.976,0.70609,1.14585,0.49659,1.42147,0.000470511,0.000470511,0.000470511
147,5949.11,0.59751,0.36842,0.99532,0.97164,0.95041,0.9771,0.6975,1.1449,0.48642,1.4284,0.000462259,0.000462259,0.000462259
